index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
510	29	37	A2-B2	A2-B1	0.7889546351	0.9861932939	2.621	1.201	1.232	1.092	3.853	2.293	6	6	3.198	0.904	5.07	5.07	4	5	0	2	TRUE	FALSE
511	4	1	B1-A1	B1-A2	1.1834319527	2.3099133782	10.982	3.978	1.748	0.92	12.73	4.898	6	6	0.422	0.468	5.07	5.195	6	12	0	0	TRUE	FALSE
512	8	3	B1-A1	B1-A2	1.1834319527	0.7889546351	1.217	1.467	1.997	1.435	3.214	2.902	6	6	0.499	0.546	5.07	5.07	6	4	0	0	TRUE	FALSE
513	30	9	B1-A1	B1-A2	0.9861932939	1.3806706114	1.575	1.357	1.903	1.155	3.478	2.512	6	6	0.671	0.64	5.07	5.07	5	7	0	0	TRUE	FALSE
514	33	11	B1-A1	B1-A2	1.5779092702	1.7221584386	1.342	0.92	1.31	1.467	2.652	2.387	6	6	0.843	0.687	5.07	5.226	8	9	1	0	TRUE	FALSE
515	38	24	B1-A1	B1-A2	1.5779092702	0.4930966469	0.748	2.075	0.952	1.685	1.7	3.76	6	6	0.561	0.593	5.07	4.056	8	2	0	3	TRUE	TRUE
516	12	22	B2-A2	B2-A1	1.1834319527	2.1696252465	1.607	4.462	1.622	1.404	3.229	5.866	6	6	0.452	0.921	5.07	5.07	6	11	0	0	TRUE	FALSE
517	13	26	B2-A2	B2-A1	1.3806706114	1.1834319527	1.092	0.889	1.809	1.029	2.901	1.918	6	6	0.686	0.811	5.07	5.07	7	6	0	0	TRUE	FALSE
518	17	32	B2-A2	B2-A1	1.1834319527	1.775147929	1.201	0.765	1.154	1.357	2.355	2.122	6	6	1.045	1.326	5.07	5.07	6	9	0	3	TRUE	FALSE
519	18	34	B2-A2	B2-A1	1.3806706114	1.5779092702	1.264	4.353	1.326	1.029	2.59	5.382	6	6	0.593	0.78	5.07	5.07	7	8	0	0	TRUE	FALSE
520	28	36	B2-A2	B2-A1	1.1834319527	0.9861932939	1.341	2.589	1.467	0.968	2.808	3.557	6	6	0.483	0.609	5.07	5.07	6	5	1	0	TRUE	FALSE
521	7	5	A1-B1	A1-B2	0.7889546351	1.1834319527	1.466	1.138	1.373	1.826	2.839	2.964	6	6	0.982	0.796	5.07	5.07	4	6	0	1	TRUE	FALSE
522	11	16	A1-B1	A1-B2	1.1834319527	1.3806706114	1.295	0.827	1.466	1.778	2.761	2.605	6	6	0.796	1.311	5.07	5.07	6	7	0	0	TRUE	FALSE
523	22	25	A1-B1	A1-B2	1.1834319527	0.9861932939	0.951	1.154	2.434	1.42	3.385	2.574	6	6	1.279	0.639	5.07	5.07	6	5	0	2	TRUE	FALSE
524	23	35	A1-B1	A1-B2	1.1834319527	1.5779092702	1.654	1.482	1.154	1.185	2.808	2.667	6	6	0.702	3.198	5.07	5.07	6	8	0	0	TRUE	FALSE
525	34	40	A1-B1	A1-B2	1.3806706114	0.4930966469	1.716	2.262	1.606	2.309	3.322	4.571	6	6	0.936	2.511	5.07	4.056	7	2	0	0	TRUE	TRUE
526	3	2	A2-B2	A2-B1	1.1834319527	1.3806706114	13.993	1.701	2.168	1.17	16.161	2.871	6	6	0.686	0.921	5.07	5.07	6	7	0	0	TRUE	FALSE
527	10	4	A2-B2	A2-B1	1.3806706114	1.1834319527	1.341	1.482	2.606	1.888	3.947	3.37	6	6	0.936	0.608	5.07	5.07	7	6	3	0	TRUE	FALSE
528	17	15	A2-B2	A2-B1	1.1834319527	0	1.466	0.811	1.778	1.42	3.244	2.231	6	6	0.514	NA	5.07	4.056	6	0	0	0	TRUE	TRUE
529	19	20	A2-B2	A2-B1	1.3806706114	0.2465483235	1.107	2.169	1.014	1.092	2.121	3.261	6	6	0.796	3.885	5.07	4.056	7	1	0	0	TRUE	TRUE
530	39	26	A2-B2	A2-B1	1.3806706114	1.3806706114	1.404	1.326	0.89	1.856	2.294	3.182	6	6	1.17	1.342	5.07	5.07	7	7	0	1	TRUE	FALSE
531	1	8	B1-A1	B1-A2	1.3806706114	1.5779092702	4.305	0.998	2.481	1.389	6.786	2.387	6	6	0.499	0.671	5.07	5.07	7	8	0	0	TRUE	FALSE
532	27	18	B1-A1	B1-A2	1.5779092702	1.3806706114	2.106	2.106	1.248	1.186	3.354	3.292	6	6	0.796	0.655	5.07	5.07	8	7	0	0	TRUE	FALSE
533	33	29	B1-A1	B1-A2	1.1831985802	1.3806706114	1.529	1.56	1.248	1.732	2.777	3.292	6	6	1.077	2.074	5.071	5.07	6	7	0	0	TRUE	FALSE
534	36	30	B1-A1	B1-A2	1.1834319527	1.1834319527	1.716	1.263	1.778	1.279	3.494	2.542	6	6	0.795	1.95	5.07	5.07	6	6	0	1	TRUE	FALSE
535	38	37	B1-A1	B1-A2	1.3806706114	0.4930966469	1.622	2.137	1.279	1.03	2.901	3.167	6	6	0.64	3.104	5.07	4.056	7	2	0	0	TRUE	TRUE
536	9	6	B2-A2	B2-A1	1.3806706114	1.5779092702	1.607	1.42	1.888	1.326	3.495	2.746	6	6	0.624	0.718	5.07	5.07	7	8	0	0	TRUE	FALSE
