index	oiposi	oinega	pname	nname	mrposi	mrnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
613	17	28	B1-A2	B1-A1	2.761341223	1.183431953	1.139	1.154	1.076	1.482	2.215	2.636	6	6	0.406	0.39	5.07	5.07	14	6	0	0	TRUE	FALSE
614	24	37	B1-A2	B1-A1	2.169625247	0.986193294	1.419	10.249	1.155	0.983	2.574	11.232	6	6	0.374	0.249	5.07	5.07	11	5	1	0	TRUE	FALSE
615	40	39	B1-A2	B1-A1	2.556036178	1.380670611	1.248	1.591	1.28	1.358	2.528	2.949	6	6	0.468	0.39	5.086	5.07	13	7	0	1	TRUE	FALSE
616	7	15	B2-A1	B2-A2	1.775147929	0.493096647	10.28	9.609	1.264	1.248	11.544	10.857	6	6	0.764	0.749	5.07	4.056	9	2	0	0	TRUE	TRUE
617	14	16	B2-A1	B2-A2	2.366863905	0.788954635	1.014	0.905	1.092	1.186	2.106	2.091	6	6	0.374	0.515	5.07	5.07	12	4	0	0	TRUE	FALSE
618	20	29	B2-A1	B2-A2	2.564102564	1.972386588	1.95	0.968	1.357	1.154	3.307	2.122	6	6	0.374	0.39	5.07	5.07	13	10	0	1	TRUE	FALSE
619	32	34	B2-A1	B2-A2	1.913509376	1.380670611	7.878	4.617	1.342	0.952	9.22	5.569	6	6	0.468	0.39	5.226	5.07	10	7	0	0	TRUE	FALSE
620	33	38	B2-A1	B2-A2	1.380670611	1.380670611	1.451	1.311	1.061	1.216	2.512	2.527	6	6	0.452	0.296	5.07	5.07	7	7	0	1	TRUE	FALSE
621	1	2	A1-B1	A1-B2	2.958579882	0.788954635	0.905	1.653	0.858	1.592	1.763	3.245	6	6	0.312	0.546	5.07	5.07	15	4	0	0	TRUE	FALSE
622	7	16	A1-B1	A1-B2	2.564102564	1.57790927	1.357	1.545	0.967	1.107	2.324	2.652	6	6	0.39	0.374	5.07	5.07	13	8	0	0	TRUE	FALSE
623	19	23	A1-B1	A1-B2	3.15581854	0.591715976	1.373	4.945	1.388	1.607	2.761	6.552	6	6	0.437	0.608	5.07	5.07	16	3	1	0	TRUE	FALSE
624	32	24	A1-B1	A1-B2	2.761341223	0.788954635	4.01	1.685	1.045	1.591	5.055	3.276	6	6	0.452	0.53	5.07	5.07	14	4	0	1	TRUE	FALSE
625	34	30	A1-B1	A1-B2	2.761341223	0.591715976	2.012	2.184	1.155	1.405	3.167	3.589	6	6	0.608	0.609	5.07	5.07	14	3	1	0	TRUE	FALSE
626	5	12	A2-B2	A2-B1	3.15581854	0.246548323	0.796	1.872	1.622	1.622	2.418	3.494	6	6	0.327	1.701	5.07	4.056	16	1	0	0	TRUE	TRUE
627	6	15	A2-B2	A2-B1	0.246548323	0.788954635	12.261	1.544	0.89	1.295	13.151	2.839	6	6	1.42	0.671	4.056	5.07	1	4	0	0	FALSE	FALSE
628	26	20	A2-B2	A2-B1	2.366863905	0.788954635	1.544	8.128	0.89	1.248	2.434	9.376	6	6	0.515	0.53	5.07	5.07	12	4	1	0	TRUE	FALSE
629	27	28	A2-B2	A2-B1	1.972386588	0.493096647	3.01	3.105	1.982	1.466	4.992	4.571	6	6	0.624	1.529	5.07	4.056	10	2	0	0	TRUE	TRUE
630	35	31	A2-B2	A2-B1	2.169625247	1.57790927	2.854	1.623	1.28	3.104	4.134	4.727	6	6	0.593	0.499	5.07	5.07	11	8	0	2	TRUE	FALSE
631	11	3	B1-A2	B1-A1	2.564102564	0.788954635	1.248	1.935	1.326	1.326	2.574	3.261	6	6	0.905	0.405	5.07	5.07	13	4	0	0	TRUE	FALSE
632	13	4	B1-A2	B1-A1	2.564102564	0.986193294	1.154	2.699	1.388	1.326	2.542	4.025	6	6	0.577	0.405	5.07	5.07	13	5	0	3	TRUE	FALSE
633	17	8	B1-A2	B1-A1	2.761341223	0.788954635	1.825	3.354	0.92	1.311	2.745	4.665	6	6	0.328	0.546	5.07	5.07	14	4	0	0	TRUE	FALSE
634	21	18	B1-A2	B1-A1	2.533125487	0.986193294	1.248	10.546	1.451	1.138	2.699	11.684	6	6	0.343	0.468	5.132	5.07	13	5	0	0	TRUE	FALSE
635	40	29	B1-A2	B1-A1	1.775147929	1.380670611	0.733	1.03	2.153	1.342	2.886	2.372	6	6	0.592	0.64	5.07	5.07	9	7	2	1	TRUE	FALSE
636	14	9	B2-A1	B2-A2	0.493096647	1.57790927	6.849	2.106	2.09	1.061	8.939	3.167	6	6	0.624	0.437	4.056	5.07	2	8	4	3	FALSE	FALSE
637	22	10	B2-A1	B2-A2	2.169625247	1.183431953	9.173	1.638	0.936	1.108	10.109	2.746	6	6	0.608	0.343	5.07	5.07	11	6	0	3	TRUE	FALSE
638	37	25	B2-A1	B2-A2	2.169625247	1.57790927	1.342	1.17	1.42	0.889	2.762	2.059	6	6	0.484	0.468	5.07	5.07	11	8	0	2	TRUE	FALSE
639	38	33	B2-A1	B2-A2	0.246548323	1.183431953	1.841	4.43	2.293	0.89	4.134	5.32	6	6	2.371	0.858	4.056	5.07	1	6	2	0	FALSE	FALSE
640	39	36	B2-A1	B2-A2	1.57790927	0	2.278	6.069	1.092	2.074	3.37	8.143	6	6	0.453	NA	5.07	4.056	8	0	1	1	TRUE	TRUE
641	1	9	A1-B1	A1-B2	2.761341223	0.986193294	0.905	0.92	0.951	1.357	1.856	2.277	6	6	0.437	0.312	5.07	5.07	14	5	0	0	TRUE	FALSE
642	3	10	A1-B1	A1-B2	2.761341223	0.986193294	1.295	2.106	2.137	1.108	3.432	3.214	6	6	0.483	0.546	5.07	5.07	14	5	1	0	TRUE	FALSE
643	7	22	A1-B1	A1-B2	2.564102564	2.366863905	1.982	0.811	1.513	1.108	3.495	1.919	6	6	0.483	0.452	5.07	5.07	13	12	0	1	TRUE	FALSE
644	17	27	A1-B1	A1-B2	2.296211251	1.183431953	1.185	1.467	1.342	0.889	2.527	2.356	6	6	0.639	0.483	5.226	5.07	12	6	0	0	TRUE	FALSE
645	18	32	A1-B1	A1-B2	0.493096647	0	6.037	1.903	1.514	1.389	7.551	3.292	6	6	0.578	NA	4.056	4.056	2	0	0	0	FALSE	TRUE
646	23	2	A2-B2	A2-B1	3.15581854	0.591715976	0.827	17.941	1.279	1.372	2.106	19.313	6	6	0.421	0.686	5.07	5.07	16	3	0	0	TRUE	FALSE
647	25	4	A2-B2	A2-B1	1.380670611	0.246548323	7.956	12.683	1.185	3.167	9.141	15.85	6	6	0.671	0.733	5.07	4.056	7	1	1	0	TRUE	TRUE
648	28	5	A2-B2	A2-B1	2.169625247	0.591715976	0.967	1.295	1.466	1.623	2.433	2.918	6	6	0.453	0.593	5.07	5.07	11	3	1	0	TRUE	FALSE
649	30	14	A2-B2	A2-B1	2.761341223	1.380670611	1.576	1.108	0.967	1.076	2.543	2.184	6	6	0.546	0.296	5.07	5.07	14	7	1	0	TRUE	FALSE
650	34	15	A2-B2	A2-B1	3.15581854	0.788954635	0.936	1.061	0.858	1.623	1.794	2.684	6	6	0.296	0.468	5.07	5.07	16	4	0	0	TRUE	FALSE
651	11	12	B1-A2	B1-A1	3.353057199	0.493096647	0.905	2.886	1.279	0.951	2.184	3.837	6	6	0.406	0.624	5.07	4.056	17	2	0	0	TRUE	TRUE
652	20	19	B1-A2	B1-A1	2.564102564	0.493096647	0.936	3.448	1.56	1.045	2.496	4.493	6	6	0.406	0.406	5.07	4.056	13	2	0	0	TRUE	TRUE
653	24	35	B1-A2	B1-A1	1.380670611	0	6.209	4.119	1.154	1.248	7.363	5.367	6	6	0.452	NA	5.07	4.056	7	0	1	0	TRUE	TRUE
654	31	39	B1-A2	B1-A1	2.564102564	0.246548323	8.565	1.029	1.669	1.17	10.234	2.199	6	6	0.327	0.484	5.07	4.056	13	1	0	0	TRUE	TRUE
655	37	40	B1-A2	B1-A1	3.15581854	0.788954635	1.794	1.155	0.702	0.858	2.496	2.013	6	6	0.515	0.484	5.07	5.07	16	4	1	0	TRUE	FALSE
656	6	8	B2-A1	B2-A2	1.717229536	0	0.936	6.474	0.749	2.558	1.685	9.032	6	6	0.421	NA	5.241	4.056	9	0	0	2	TRUE	TRUE
657	16	13	B2-A1	B2-A2	1.183431953	0.493096647	1.326	1.279	0.905	0.983	2.231	2.262	6	6	0.499	0.327	5.07	4.056	6	2	0	0	TRUE	TRUE
658	21	33	B2-A1	B2-A2	0	0.591715976	6.209	3.885	1.7	1.138	7.909	5.023	6	6	NA	0.328	4.056	5.07	0	3	1	0	FALSE	FALSE
659	26	36	B2-A1	B2-A2	0.246548323	0.986193294	1.31	1.154	1.451	0.89	2.761	2.044	6	6	0.374	0.468	4.056	5.07	1	5	0	3	FALSE	FALSE
660	29	38	B2-A1	B2-A2	0.493096647	0.493096647	1.622	6.848	1.576	1.389	3.198	8.237	6	6	0.53	0.92	4.056	4.056	2	2	0	0	FALSE	TRUE
661	4	3	A1-B1	A1-B2	2.169625247	0.591715976	1.248	1.669	1.17	1.124	2.418	2.793	6	6	0.453	0.484	5.07	5.07	11	3	0	0	TRUE	FALSE
662	15	8	A1-B1	A1-B2	1.775147929	0.788799053	2.434	2.075	1.7	1.623	4.134	3.698	6	6	0.53	0.593	5.07	5.071	9	4	0	0	TRUE	FALSE
663	18	13	A1-B1	A1-B2	1.775147929	0.788954635	1.7	1.217	1.31	1.388	3.01	2.605	6	6	0.515	0.468	5.07	5.07	9	4	0	0	TRUE	FALSE
664	22	16	A1-B1	A1-B2	1.183431953	0.986193294	1.622	4.368	1.186	1.529	2.808	5.897	6	6	0.593	0.608	5.07	5.07	6	5	0	0	TRUE	FALSE
665	29	32	A1-B1	A1-B2	1.57790927	1.183431953	5.46	1.31	1.482	1.17	6.942	2.48	6	6	0.733	0.468	5.07	5.07	8	6	1	5	TRUE	FALSE
666	6	12	A2-B2	A2-B1	2.169625247	1.380670611	0.827	1.186	1.607	1.856	2.434	3.042	6	6	0.609	0.827	5.07	5.07	11	7	1	0	TRUE	FALSE
667	10	17	A2-B2	A2-B1	2.761341223	1.775147929	2.73	1.248	1.185	1.123	3.915	2.371	6	6	0.593	0.437	5.07	5.07	14	9	0	2	TRUE	FALSE
668	28	30	A2-B2	A2-B1	2.296211251	0.493096647	1.904	1.607	1.622	1.934	3.526	3.541	6	6	0.452	0.795	5.226	4.056	12	2	0	1	TRUE	TRUE
669	35	34	A2-B2	A2-B1	2.366863905	0.986193294	1.186	3.182	1.357	1.279	2.543	4.461	6	6	0.39	0.359	5.07	5.07	12	5	0	0	TRUE	FALSE
670	37	39	A2-B2	A2-B1	2.564102564	1.380670611	2.044	1.295	0.873	0.811	2.917	2.106	6	6	0.593	0.405	5.07	5.07	13	7	0	0	TRUE	FALSE
671	1	5	B1-A2	B1-A1	2.896312029	0.493096647	5.866	2.698	1.154	0.983	7.02	3.681	6	6	0.359	0.811	5.179	4.056	15	2	1	0	TRUE	TRUE
672	7	23	B1-A2	B1-A1	2.761341223	0	1.638	2.621	2.559	1.544	4.197	4.165	6	6	1.061	NA	5.07	4.056	14	0	2	0	TRUE	TRUE
673	14	26	B1-A2	B1-A1	2.761341223	0.246548323	1.295	3.994	1.7	1.076	2.995	5.07	6	6	0.296	3.026	5.07	4.056	14	1	1	0	TRUE	TRUE
674	20	27	B1-A2	B1-A1	3.353057199	1.183431953	0.733	1.154	1.514	1.092	2.247	2.246	6	6	0.375	0.624	5.07	5.07	17	6	0	0	TRUE	FALSE
675	33	31	B1-A2	B1-A1	1.972386588	0.591715976	1.31	0.827	1.545	1.419	2.855	2.246	6	6	0.312	0.39	5.07	5.07	10	3	0	1	TRUE	FALSE
676	9	2	B2-A1	B2-A2	2.169625247	0	1.341	10.701	1.607	0.889	2.948	11.59	6	6	0.421	NA	5.07	4.056	11	0	0	0	TRUE	TRUE
677	21	11	B2-A1	B2-A2	1.380670611	0.788954635	4.852	13.884	1.638	1.576	6.49	15.46	6	6	0.499	1.279	5.07	5.07	7	4	0	0	TRUE	FALSE
678	24	19	B2-A1	B2-A2	1.972386588	1.775147929	0.92	2.012	1.279	1.17	2.199	3.182	6	6	0.405	0.562	5.07	5.07	10	9	0	0	TRUE	FALSE
679	25	38	B2-A1	B2-A2	2.548519898	0.788954635	10.764	8.799	1.279	1.31	12.043	10.109	6	6	0.655	0.577	5.101	5.07	13	4	0	1	TRUE	FALSE
680	36	40	B2-A1	B2-A2	0.986193294	1.57790927	4.118	1.919	1.077	1.279	5.195	3.198	6	6	0.687	0.421	5.07	5.07	5	8	0	0	TRUE	FALSE
681	4	8	A1-B1	A1-B2	3.433803892	1.57790927	1.123	2.434	1.186	1.451	2.309	3.885	6	6	0.422	0.531	5.242	5.07	18	8	0	0	TRUE	FALSE
682	14	18	A1-B1	A1-B2	1.972386588	1.380670611	1.045	4.025	1.669	1.31	2.714	5.335	6	6	0.562	0.515	5.07	5.07	10	7	1	0	TRUE	FALSE
683	26	24	A1-B1	A1-B2	2.761341223	1.183431953	1.154	1.061	1.311	1.763	2.465	2.824	6	6	0.67	0.436	5.07	5.07	14	6	0	0	TRUE	FALSE
684	27	32	A1-B1	A1-B2	2.564102564	0.986193294	2.808	1.466	1.419	1.373	4.227	2.839	6	6	0.577	0.327	5.07	5.07	13	5	1	1	TRUE	FALSE
685	28	34	A1-B1	A1-B2	2.564102564	0.493096647	7.707	11.778	1.466	2.543	9.173	14.321	6	6	0.359	0.437	5.07	4.056	13	2	0	0	TRUE	TRUE
686	7	2	A2-B2	A2-B1	2.366863905	0.788954635	1.092	3.759	1.03	0.983	2.122	4.742	6	6	0.437	0.998	5.07	5.07	12	4	0	1	TRUE	FALSE
687	15	3	A2-B2	A2-B1	3.15581854	1.183431953	3.791	1.139	1.248	1.451	5.039	2.59	6	6	0.359	0.765	5.07	5.07	16	6	3	0	TRUE	FALSE
688	16	11	A2-B2	A2-B1	2.366863905	0.246548323	1.482	3.12	0.842	0.842	2.324	3.962	6	6	0.593	0.484	5.07	4.056	12	1	1	0	TRUE	TRUE
689	25	13	A2-B2	A2-B1	2.169625247	0.246548323	1.685	4.634	1.107	0.967	2.792	5.601	6	6	0.484	0.405	5.07	4.056	11	1	1	0	TRUE	TRUE
690	38	29	A2-B2	A2-B1	3.353057199	1.183431953	0.812	1.903	1.716	2.044	2.528	3.947	6	6	0.297	0.468	5.07	5.07	17	6	0	1	TRUE	FALSE
691	9	19	B1-A2	B1-A1	3.353057199	0.788954635	2.403	1.311	0.811	0.951	3.214	2.262	6	6	0.421	0.25	5.07	5.07	17	4	0	0	TRUE	FALSE
692	10	21	B1-A2	B1-A1	2.564102564	0.986193294	1.561	1.42	0.936	1.341	2.497	2.761	6	6	0.359	0.452	5.07	5.07	13	5	0	1	TRUE	FALSE
693	12	31	B1-A2	B1-A1	1.775147929	1.380670611	1.108	2.387	1.17	1.263	2.278	3.65	6	6	0.453	0.421	5.07	5.07	9	7	1	0	TRUE	FALSE
694	23	37	B1-A2	B1-A1	1.183431953	1.380670611	1.263	1.201	1.186	1.31	2.449	2.511	6	6	0.452	0.234	5.07	5.07	6	7	0	0	TRUE	FALSE
695	33	39	B1-A2	B1-A1	2.761341223	0.493096647	1.263	2.262	1.233	0.999	2.496	3.261	6	6	0.437	0.531	5.07	4.056	14	2	0	1	TRUE	TRUE
