index	oiposi	oinega	pname	nname	mrposi	mrnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
729	37	36	A2-B2	A2-B1	2.862049227	0.788954635	1.17	1.17	0.983	0.827	2.153	1.997	6	6	0.452	0.327	5.241	5.07	15	4	0	0	TRUE	FALSE
730	38	40	A2-B2	A2-B1	1.380670611	0.788799053	2.246	6.271	1.139	1.295	3.385	7.566	6	6	0.53	0.515	5.07	5.071	7	4	0	0	TRUE	FALSE
731	8	3	B1-A2	B1-A1	1.775147929	0	5.866	10.031	0.905	1.7	6.771	11.731	6	6	0.515	NA	5.07	4.056	9	0	0	0	TRUE	TRUE
732	12	15	B1-A2	B1-A1	1.972386588	0.493096647	2.044	7.52	1.669	1.825	3.713	9.345	6	6	0.358	0.483	5.07	4.056	10	2	0	0	TRUE	TRUE
733	25	22	B1-A2	B1-A1	2.564102564	1.57790927	1.31	1.232	1.373	0.842	2.683	2.074	6	6	0.405	0.406	5.07	5.07	13	8	2	0	TRUE	FALSE
734	33	28	B1-A2	B1-A1	2.564102564	0.788954635	1.107	1.606	1.014	1.248	2.121	2.854	6	6	0.297	0.452	5.07	5.07	13	4	0	0	TRUE	FALSE
735	39	32	B1-A2	B1-A1	2.564102564	0.788954635	2.402	0.765	1.342	1.638	3.744	2.403	6	6	0.421	0.328	5.07	5.07	13	4	2	0	TRUE	FALSE
736	2	4	B2-A1	B2-A2	3.747534517	0.788799053	1.279	1.17	1.108	0.905	2.387	2.075	6	6	0.546	0.624	5.07	5.071	19	4	0	0	TRUE	FALSE
737	7	13	B2-A1	B2-A2	2.169625247	0.246548323	0.842	2.683	1.732	0.827	2.574	3.51	6	6	0.312	0.686	5.07	4.056	11	1	1	1	TRUE	TRUE
738	9	16	B2-A1	B2-A2	0.493096647	0.788954635	9.126	1.404	0.951	1.31	10.077	2.714	6	6	0.718	0.468	4.056	5.07	2	4	0	0	FALSE	FALSE
739	20	18	B2-A1	B2-A2	1.380670611	0.788954635	1.17	0.686	0.936	1.03	2.106	1.716	6	6	0.483	0.468	5.07	5.07	7	4	1	0	TRUE	FALSE
740	27	30	B2-A1	B2-A2	1.77479787	0.493096647	0.89	9.656	0.702	0.733	1.592	10.389	6	6	0.562	0.686	5.071	4.056	9	2	0	0	TRUE	TRUE
741	1	4	A1-B1	A1-B2	2.366863905	0	8.705	5.538	1.95	1.451	10.655	6.989	6	6	0.624	NA	5.07	4.056	12	0	0	0	TRUE	TRUE
742	16	12	A1-B1	A1-B2	2.169625247	1.183431953	21.154	1.357	1.17	1.139	22.324	2.496	6	6	0.717	0.608	5.07	5.07	11	6	0	1	TRUE	FALSE
743	22	20	A1-B1	A1-B2	1.775147929	0.493096647	1.045	1.217	2.013	1.778	3.058	2.995	6	6	0.406	0.749	5.07	4.056	9	2	1	0	TRUE	TRUE
744	30	32	A1-B1	A1-B2	2.564102564	1.380670611	3.51	6.536	1.124	0.936	4.634	7.472	6	6	0.312	0.546	5.07	5.07	13	7	0	0	TRUE	FALSE
745	36	40	A1-B1	A1-B2	1.775147929	1.380670611	2.668	1.154	1.123	1.217	3.791	2.371	6	6	0.608	0.468	5.07	5.07	9	7	0	0	TRUE	FALSE
746	7	2	A2-B2	A2-B1	1.183431953	0.591715976	13.057	3.073	1.732	2.278	14.789	5.351	6	6	0.671	0.484	5.07	5.07	6	3	2	0	TRUE	FALSE
747	8	11	A2-B2	A2-B1	0	0.493096647	8.611	1.576	1.217	0.936	9.828	2.512	6	6	NA	0.608	4.056	4.056	0	2	1	0	FALSE	TRUE
748	9	17	A2-B2	A2-B1	1.972386588	0.246548323	3.776	1.685	1.622	1.092	5.398	2.777	6	6	0.343	0.593	5.07	4.056	10	1	0	0	TRUE	TRUE
749	18	19	A2-B2	A2-B1	2.51742835	1.380670611	1.545	1.763	0.858	1.341	2.403	3.104	6	6	0.546	0.405	5.164	5.07	13	7	1	1	TRUE	FALSE
750	31	27	A2-B2	A2-B1	1.380670611	0.591715976	2.496	6.302	1.31	1.576	3.806	7.878	6	6	0.561	0.717	5.07	5.07	7	3	0	0	TRUE	FALSE
751	3	5	B1-A2	B1-A1	3.15581854	1.380670611	1.123	6.287	0.983	1.092	2.106	7.379	6	6	0.468	0.343	5.07	5.07	16	7	0	1	TRUE	FALSE
752	14	10	B1-A2	B1-A1	2.169625247	0.493096647	2.169	6.91	1.279	2.637	3.448	9.547	6	6	0.67	0.39	5.07	4.056	11	2	0	0	TRUE	TRUE
753	23	13	B1-A2	B1-A1	1.57790927	0.493096647	1.42	1.342	2.012	1.872	3.432	3.214	6	6	0.484	0.452	5.07	4.056	8	2	0	2	TRUE	TRUE
754	24	34	B1-A2	B1-A1	1.972386588	1.183431953	2.434	1.419	0.858	1.014	3.292	2.433	6	6	0.437	0.328	5.07	5.07	10	6	1	0	TRUE	FALSE
755	33	37	B1-A2	B1-A1	1.971997634	1.183431953	3.385	3.432	1.919	1.435	5.304	4.867	6	6	0.312	0.499	5.071	5.07	10	6	0	0	TRUE	FALSE
756	6	21	B2-A1	B2-A2	2.309913378	0.493096647	1.716	1.544	2.122	0.827	3.838	2.371	6	6	0.297	0.53	5.195	4.056	12	2	0	1	TRUE	TRUE
757	15	25	B2-A1	B2-A2	1.57790927	0.591715976	7.55	5.491	1.467	1.529	9.017	7.02	6	6	0.359	0.609	5.07	5.07	8	3	0	1	TRUE	FALSE
758	26	29	B2-A1	B2-A2	2.366863905	0.493096647	3.042	1.513	1.014	0.905	4.056	2.418	6	6	0.312	0.64	5.07	4.056	12	2	1	0	TRUE	TRUE
759	28	38	B2-A1	B2-A2	1.972386588	1.57790927	1.232	1.295	1.279	1.076	2.511	2.371	6	6	0.452	0.296	5.07	5.07	10	8	0	1	TRUE	FALSE
760	35	39	B2-A1	B2-A2	2.36639716	0.788799053	1.466	0.873	1.436	1.233	2.902	2.106	6	6	0.25	0.437	5.071	5.071	12	4	1	0	TRUE	FALSE
761	17	4	A1-B1	A1-B2	1.183431953	0.591715976	4.306	12.371	2.293	2.73	6.599	15.101	6	6	0.592	0.468	5.07	5.07	6	3	0	0	TRUE	FALSE
762	21	9	A1-B1	A1-B2	2.169625247	0.788954635	1.544	1.045	1.061	1.202	2.605	2.247	6	6	0.327	0.562	5.07	5.07	11	4	0	0	TRUE	FALSE
763	25	26	A1-B1	A1-B2	0.493096647	1.972386588	2.823	1.31	1.638	1.217	4.461	2.527	6	6	0.655	0.343	4.056	5.07	2	10	0	3	FALSE	FALSE
764	29	33	A1-B1	A1-B2	2.958579882	0.493096647	4.82	2.075	1.326	1.154	6.146	3.229	6	6	0.827	0.359	5.07	4.056	15	2	0	0	TRUE	TRUE
765	34	36	A1-B1	A1-B2	1.775147929	0.591715976	1.123	1.108	1.373	1.279	2.496	2.387	6	6	0.344	0.468	5.07	5.07	9	3	0	1	TRUE	FALSE
766	7	12	A2-B2	A2-B1	1.183431953	0.986193294	1.732	0.624	1.107	0.905	2.839	1.529	6	6	0.281	0.592	5.07	5.07	6	5	5	0	TRUE	FALSE
767	18	13	A2-B2	A2-B1	1.380670611	1.183431953	1.716	1.185	1.763	0.905	3.479	2.09	6	6	0.609	0.515	5.07	5.07	7	6	1	0	TRUE	FALSE
768	23	19	A2-B2	A2-B1	2.564102564	0	0.999	1.794	1.591	1.108	2.59	2.902	6	6	0.327	NA	5.07	4.056	13	0	0	0	TRUE	TRUE
769	24	37	A2-B2	A2-B1	1.380670611	0.591715976	3.401	1.388	0.951	2.216	4.352	3.604	6	6	0.53	0.406	5.07	5.07	7	3	1	0	TRUE	FALSE
770	40	38	A2-B2	A2-B1	2.761341223	1.775147929	1.685	0.702	1.217	0.998	2.902	1.7	6	6	0.686	0.358	5.07	5.07	14	9	0	3	TRUE	FALSE
771	1	6	B1-A2	B1-A1	2.761341223	0.493096647	1.763	9.828	1.092	1.373	2.855	11.201	6	6	0.344	0.327	5.07	4.056	14	2	0	0	TRUE	TRUE
772	3	8	B1-A2	B1-A1	2.896312029	0.493096647	1.435	1.622	1.139	1.825	2.574	3.447	6	6	0.343	0.452	5.179	4.056	15	2	2	1	TRUE	TRUE
773	10	11	B1-A2	B1-A1	2.169625247	0.493096647	1.95	7.129	2.028	1.217	3.978	8.346	6	6	0.312	1.295	5.07	4.056	11	2	1	0	TRUE	TRUE
774	28	22	B1-A2	B1-A1	2.761341223	0.986193294	1.217	1.42	1.903	0.983	3.12	2.403	6	6	0.296	0.562	5.07	5.07	14	5	0	0	TRUE	FALSE
775	30	35	B1-A2	B1-A1	2.761341223	0	7.8	5.008	1.17	1.357	8.97	6.365	6	6	0.483	NA	5.07	4.056	14	0	0	1	TRUE	TRUE
776	5	2	B2-A1	B2-A2	2.169625247	0.246548323	1.389	6.957	1.139	4.93	2.528	11.887	6	6	0.312	3.915	5.07	4.056	11	1	1	0	TRUE	TRUE
777	14	15	B2-A1	B2-A2	2.169625247	0	1.685	1.497	0.999	1.732	2.684	3.229	6	6	0.484	NA	5.07	4.056	11	0	0	1	TRUE	TRUE
778	16	20	B2-A1	B2-A2	1.775147929	0.788954635	1.341	1.17	0.827	1.201	2.168	2.371	6	6	0.468	0.561	5.07	5.07	9	4	0	0	TRUE	FALSE
779	32	27	B2-A1	B2-A2	2.169625247	1.183431953	1.264	1.248	2.34	2.013	3.604	3.261	6	6	0.312	0.297	5.07	5.07	11	6	0	1	TRUE	FALSE
780	39	31	B2-A1	B2-A2	1.57790927	0.591715976	3.697	9.469	1.404	0.78	5.101	10.249	6	6	0.328	0.483	5.07	5.07	8	3	0	0	TRUE	FALSE
781	11	1	A1-B1	A1-B2	1.57790927	1.380670611	1.248	0.609	1.498	1.029	2.746	1.638	6	6	0.562	0.562	5.07	5.07	8	7	3	1	TRUE	FALSE
782	25	5	A1-B1	A1-B2	1.380670611	0.591715976	1.217	1.888	1.014	1.716	2.231	3.604	6	6	0.327	0.468	5.07	5.07	7	3	2	0	TRUE	FALSE
783	29	9	A1-B1	A1-B2	1.775147929	0.986193294	1.341	1.544	1.514	3.261	2.855	4.805	6	6	0.453	0.297	5.07	5.07	9	5	0	0	TRUE	FALSE
784	30	14	A1-B1	A1-B2	1.748251748	1.380670611	1.388	0.842	1.17	1.467	2.558	2.309	6	6	1.092	0.608	5.148	5.07	9	7	1	1	TRUE	FALSE
785	35	22	A1-B1	A1-B2	2.169625247	0.493096647	2.496	1.466	1.654	0.733	4.15	2.199	6	6	0.578	0.577	5.07	4.056	11	2	0	0	TRUE	TRUE
786	8	10	A2-B2	A2-B1	1.972386588	0.788954635	1.747	4.493	2.075	0.905	3.822	5.398	6	6	0.405	0.296	5.07	5.07	10	4	2	1	TRUE	FALSE
787	12	16	A2-B2	A2-B1	1.577598107	0.986193294	1.279	1.326	2.512	2.293	3.791	3.619	6	6	0.578	0.811	5.071	5.07	8	5	0	0	TRUE	FALSE
788	23	28	A2-B2	A2-B1	2.564102564	0.788954635	1.56	0.967	2.683	2.652	4.243	3.619	6	6	0.515	0.375	5.07	5.07	13	4	0	0	TRUE	FALSE
789	34	33	A2-B2	A2-B1	2.169625247	0	1.076	3.058	0.983	1.794	2.059	4.852	6	6	0.484	NA	5.07	4.056	11	0	1	0	TRUE	TRUE
790	39	40	A2-B2	A2-B1	1.183431953	0.591715976	1.061	1.779	0.999	0.795	2.06	2.574	6	6	0.5	0.499	5.07	5.07	6	3	0	0	TRUE	FALSE
791	4	3	B1-A2	B1-A1	1.57790927	0.493096647	1.794	12.028	3.588	1.092	5.382	13.12	6	6	0.671	0.577	5.07	4.056	8	2	8	0	TRUE	TRUE
792	19	7	B1-A2	B1-A1	0.493096647	0.986193294	1.076	0.92	2.606	2.34	3.682	3.26	6	6	0.515	0.265	4.056	5.07	2	5	0	0	FALSE	FALSE
793	21	26	B1-A2	B1-A1	1.57790927	0.591715976	14.866	2.652	60.56	2.464	75.426	5.116	6	6	0.593	0.452	5.07	5.07	8	3	0	0	TRUE	FALSE
794	31	37	B1-A2	B1-A1	1.775147929	0.246548323	1.779	17.254	0.717	1.981	2.496	19.235	6	6	0.593	0.53	5.07	4.056	9	1	1	0	TRUE	TRUE
795	32	38	B1-A2	B1-A1	2.169197397	0.493096647	4.446	3.557	1.576	0.921	6.022	4.478	6	6	0.359	0.437	5.071	4.056	11	2	0	0	TRUE	TRUE
796	2	6	B2-A1	B2-A2	1.972386588	0.493096647	0.796	1.185	1.747	1.217	2.543	2.402	6	6	0.546	0.359	5.07	4.056	10	2	0	0	TRUE	TRUE
797	13	15	B2-A1	B2-A2	0.246548323	0.246548323	1.7	1.935	0.889	1.357	2.589	3.292	6	6	1.498	0.655	4.056	4.056	1	1	0	0	FALSE	TRUE
798	18	17	B2-A1	B2-A2	0.986193294	0.788954635	1.825	1.669	0.983	0.952	2.808	2.621	6	6	0.483	0.437	5.07	5.07	5	4	4	0	TRUE	FALSE
799	24	20	B2-A1	B2-A2	0.986193294	0	8.065	3.916	1.311	1.326	9.376	5.242	6	6	0.453	NA	5.07	4.056	5	0	5	0	TRUE	TRUE
800	36	27	B2-A1	B2-A2	1.972386588	1.183431953	3.557	1.263	1.95	1.498	5.507	2.761	6	6	0.499	0.359	5.07	5.07	10	6	0	0	TRUE	FALSE
801	5	2	A1-B1	A1-B2	3.136639875	0.788954635	1.264	1.279	1.482	1.358	2.746	2.637	6	6	0.343	0.344	5.101	5.07	16	4	0	0	TRUE	FALSE
802	9	4	A1-B1	A1-B2	1.380670611	0.589854503	3.666	2.122	1.763	1.45	5.429	3.572	6	6	0.436	0.499	5.07	5.086	7	3	0	0	TRUE	FALSE
803	13	7	A1-B1	A1-B2	2.958579882	0	2.262	5.725	0.655	1.342	2.917	7.067	6	6	0.312	NA	5.07	4.056	15	0	0	0	TRUE	TRUE
804	18	14	A1-B1	A1-B2	1.775147929	0.246548323	1.295	6.801	1.576	1.654	2.871	8.455	6	6	0.312	0.358	5.07	4.056	9	1	2	0	TRUE	TRUE
805	28	20	A1-B1	A1-B2	1.775147929	0.493096647	1.576	5.319	0.998	1.404	2.574	6.723	6	6	0.374	0.452	5.07	4.056	9	2	4	1	TRUE	TRUE
806	1	15	A2-B2	A2-B1	1.57790927	1.972386588	0.546	1.888	1.529	1.856	2.075	3.744	6	6	0.53	0.406	5.07	5.07	8	10	1	0	TRUE	FALSE
807	10	16	A2-B2	A2-B1	0.493096647	0.986193294	1.607	2.574	1.06	1.903	2.667	4.477	6	6	1.123	0.312	4.056	5.07	2	5	0	0	FALSE	FALSE
808	22	21	A2-B2	A2-B1	2.761341223	2.323780015	1.779	1.061	1.279	1.388	3.058	2.449	6	6	0.28	0.453	5.07	5.164	14	12	0	1	TRUE	FALSE
809	25	27	A2-B2	A2-B1	1.972386588	0.246548323	2.714	0.936	1.404	1.092	4.118	2.028	6	6	1.045	0.53	5.07	4.056	10	1	0	0	TRUE	TRUE
810	37	31	A2-B2	A2-B1	1.775147929	0.246548323	2.09	1.372	0.78	1.529	2.87	2.901	6	6	0.562	0.499	5.07	4.056	9	1	1	0	TRUE	TRUE
811	3	12	B1-A2	B1-A1	2.169625247	0.986193294	1.279	1.248	0.905	1.732	2.184	2.98	6	6	0.281	0.312	5.07	5.07	11	5	0	0	TRUE	FALSE
812	29	17	B1-A2	B1-A1	1.380670611	1.183431953	1.81	1.17	1.014	1.887	2.824	3.057	6	6	0.546	0.281	5.07	5.07	7	6	0	0	TRUE	FALSE
813	32	19	B1-A2	B1-A1	0.493096647	1.183431953	2.231	4.852	0.998	1.138	3.229	5.99	6	6	0.921	0.436	4.056	5.07	2	6	0	0	FALSE	FALSE
814	36	26	B1-A2	B1-A1	1.717229536	0	1.482	1.919	1.389	1.685	2.871	3.604	6	6	0.967	NA	5.241	4.056	9	0	2	0	TRUE	TRUE
815	39	33	B1-A2	B1-A1	1.775147929	0.493096647	1.248	0.998	1.107	0.983	2.355	1.981	6	6	0.296	0.67	5.07	4.056	9	2	0	0	TRUE	TRUE
816	6	11	B2-A1	B2-A2	2.564102564	1.57790927	7.051	1.31	1.451	1.061	8.502	2.371	6	6	0.421	0.468	5.07	5.07	13	8	0	0	TRUE	FALSE
817	8	23	B2-A1	B2-A2	2.564102564	1.183431953	1.342	1.95	1.232	3.869	2.574	5.819	6	6	0.39	0.5	5.07	5.07	13	6	0	3	TRUE	FALSE
818	24	30	B2-A1	B2-A2	2.541047694	0.493096647	1.389	1.545	1.17	2.698	2.559	4.243	6	6	0.39	0.515	5.116	4.056	13	2	0	0	TRUE	TRUE
819	34	35	B2-A1	B2-A2	1.775147929	0	1.201	1.622	1.373	1.545	2.574	3.167	6	6	0.421	NA	5.07	4.056	9	0	2	0	TRUE	TRUE
820	40	38	B2-A1	B2-A2	0.246548323	0.788954635	1.154	4.134	0.827	0.905	1.981	5.039	6	6	1.887	0.562	4.056	5.07	1	4	0	0	FALSE	FALSE
821	5	2	A1-B1	A1-B2	1.183431953	0.246548323	1.7	12.854	1.42	1.014	3.12	13.868	6	6	0.312	0.718	5.07	4.056	6	1	1	0	TRUE	TRUE
822	9	4	A1-B1	A1-B2	1.57790927	0.493096647	7.597	4.961	0.905	1.7	8.502	6.661	6	6	0.655	0.718	5.07	4.056	8	2	0	0	TRUE	TRUE
823	13	7	A1-B1	A1-B2	1.775147929	0.591715976	2.2	3.338	1.497	0.936	3.697	4.274	6	6	0.546	0.405	5.07	5.07	9	3	1	1	TRUE	FALSE
824	18	14	A1-B1	A1-B2	2.169625247	0	1.217	4.212	1.575	1.373	2.792	5.585	6	6	0.593	NA	5.07	4.056	11	0	1	0	TRUE	TRUE
825	28	20	A1-B1	A1-B2	1.775147929	0.246548323	1.638	1.31	0.687	1.389	2.325	2.699	6	6	0.64	0.983	5.07	4.056	9	1	0	0	TRUE	TRUE
826	1	15	A2-B2	A2-B1	2.169625247	0.591715976	0.592	0.764	0.921	1.794	1.513	2.558	6	6	0.514	0.624	5.07	5.07	11	3	2	0	TRUE	FALSE
827	10	16	A2-B2	A2-B1	0.591715976	0.788954635	2.995	2.153	1.669	1.061	4.664	3.214	6	6	0.577	0.312	5.07	5.07	3	4	1	1	TRUE	FALSE
828	22	21	A2-B2	A2-B1	2.761341223	0.986193294	2.294	1.342	1.076	1.107	3.37	2.449	6	6	0.359	0.359	5.07	5.07	14	5	0	0	TRUE	FALSE
829	25	27	A2-B2	A2-B1	2.366863905	0.591715976	1.966	1.341	1.076	1.014	3.042	2.355	6	6	0.577	0.562	5.07	5.07	12	3	0	0	TRUE	FALSE
830	37	31	A2-B2	A2-B1	1.775147929	3.944773176	2.262	1.014	0.858	0.609	3.12	1.623	6	6	0.374	0.468	5.07	5.07	9	20	1	1	TRUE	FALSE
831	3	12	B1-A2	B1-A1	1.775147929	0.246548323	2.996	1.856	1.248	1.123	4.244	2.979	6	6	0.453	0.281	5.07	4.056	9	1	0	0	TRUE	TRUE
832	29	17	B1-A2	B1-A1	2.366863905	0.591715976	1.139	1.934	1.185	0.812	2.324	2.746	6	6	0.655	1.202	5.07	5.07	12	3	1	0	TRUE	FALSE
833	32	19	B1-A2	B1-A1	2.870264064	0	2.371	1.685	0.827	2.73	3.198	4.415	6	6	0.39	NA	5.226	4.056	15	0	0	4	TRUE	TRUE
834	36	26	B1-A2	B1-A1	0.788954635	0	29.375	2.652	1.592	1.092	30.967	3.744	6	6	0.796	NA	5.07	4.056	4	0	0	0	TRUE	TRUE
835	39	33	B1-A2	B1-A1	2.563596924	2.761341223	2.169	2.527	0.983	1.061	3.152	3.588	6	6	0.624	0.483	5.071	5.07	13	14	0	1	TRUE	FALSE
836	6	11	B2-A1	B2-A2	0	0	2.667	2.184	1.997	3.104	4.664	5.288	6	6	NA	NA	4.056	4.056	0	0	0	6	FALSE	TRUE
837	8	23	B2-A1	B2-A2	2.366863905	0.493096647	1.232	11.482	1.155	1.139	2.387	12.621	6	6	0.312	0.64	5.07	4.056	12	2	0	0	TRUE	TRUE
838	24	30	B2-A1	B2-A2	0.493096647	2.853338406	1.435	1.529	0.952	0.717	2.387	2.246	6	6	0.858	0.343	4.056	5.257	2	15	0	0	FALSE	FALSE
839	34	35	B2-A1	B2-A2	3.353057199	1.183431953	1.404	11.731	0.718	0.874	2.122	12.605	6	6	0.499	0.578	5.07	5.07	17	6	1	0	TRUE	FALSE
840	40	38	B2-A1	B2-A2	0.493096647	3.353057199	4.836	1.607	0.796	0.889	5.632	2.496	6	6	1.029	0.577	4.056	5.07	2	17	0	1	FALSE	FALSE
841	2	1	A1-B1	A1-B2	2.169625247	1.367989056	1.201	0.765	1.061	3.572	2.262	4.337	6	6	0.483	0.421	5.07	5.117	11	7	4	1	TRUE	FALSE
842	14	11	A1-B1	A1-B2	1.183431953	1.165501166	1.342	1.544	1.419	1.576	2.761	3.12	6	6	0.546	0.561	5.07	5.148	6	6	0	2	TRUE	FALSE
843	18	28	A1-B1	A1-B2	1.775147929	0	1.622	4.586	1.233	2.044	2.855	6.63	6	6	0.811	NA	5.07	4.056	9	0	2	1	TRUE	TRUE
844	22	31	A1-B1	A1-B2	1.775147929	2.169625247	1.248	1.124	1.139	0.92	2.387	2.044	6	6	0.422	0.92	5.07	5.07	9	11	4	1	TRUE	FALSE
845	38	32	A1-B1	A1-B2	2.761341223	0.246548323	1.248	1.685	0.952	1.513	2.2	3.198	6	6	0.422	0.343	5.07	4.056	14	1	1	0	TRUE	TRUE
846	20	4	A2-B2	A2-B1	2.761341223	1.183431953	1.326	2.262	0.983	0.811	2.309	3.073	6	6	0.515	0.546	5.07	5.07	14	6	0	0	TRUE	FALSE
847	23	7	A2-B2	A2-B1	0.246548323	0.246548323	2.668	1.654	1.248	1.84	3.916	3.494	6	6	1.467	1.123	4.056	4.056	1	1	1	0	FALSE	TRUE
848	26	10	A2-B2	A2-B1	2.564102564	0.246548323	2.606	2.542	1.185	0.905	3.791	3.447	6	6	0.811	0.905	5.07	4.056	13	1	1	0	TRUE	TRUE
849	27	39	A2-B2	A2-B1	1.775147929	0.246548323	5.179	7.238	0.889	1.342	6.068	8.58	6	6	1.014	0.983	5.07	4.056	9	1	2	0	TRUE	TRUE
850	30	40	A2-B2	A2-B1	2.169625247	0.591715976	1.42	1.529	0.826	1.076	2.246	2.605	6	6	0.468	0.546	5.07	5.07	11	3	3	0	TRUE	FALSE
851	6	5	B1-A2	B1-A1	1.57790927	1.972386588	3.947	1.638	1.529	1.186	5.476	2.824	6	6	0.515	0.609	5.07	5.07	8	10	0	3	TRUE	FALSE
852	9	24	B1-A2	B1-A1	1.57790927	0.591715976	1.95	1.591	0.843	0.874	2.793	2.465	6	6	0.983	0.483	5.07	5.07	8	3	1	0	TRUE	FALSE
853	17	33	B1-A2	B1-A1	1.972386588	0.591715976	1.42	1.295	0.936	1.17	2.356	2.465	6	6	0.577	0.421	5.07	5.07	10	3	1	0	TRUE	FALSE
854	25	35	B1-A2	B1-A1	2.296211251	0	4.18	1.56	0.687	1.077	4.867	2.637	6	6	0.858	NA	5.226	4.056	12	0	1	0	TRUE	TRUE
855	34	37	B1-A2	B1-A1	2.761341223	0.591715976	1.357	6.053	1.28	1.419	2.637	7.472	6	6	0.281	0.468	5.07	5.07	14	3	0	0	TRUE	FALSE
856	13	3	B2-A1	B2-A2	1.57790927	1.183431953	2.683	1.357	0.718	2.324	3.401	3.681	6	6	0.546	0.624	5.07	5.07	8	6	0	0	TRUE	FALSE
857	15	8	B2-A1	B2-A2	0.493096647	1.183431953	1.872	1.03	1.747	0.92	3.619	1.95	6	6	0.499	0.546	4.056	5.07	2	6	0	0	FALSE	FALSE
858	19	12	B2-A1	B2-A2	0.246548323	0.591715976	1.7	1.888	1.841	1.248	3.541	3.136	6	6	0.952	0.468	4.056	5.07	1	3	0	0	FALSE	FALSE
859	29	16	B2-A1	B2-A2	0.493096647	1.380670611	0.982	1.467	0.999	0.873	1.981	2.34	6	6	0.483	0.437	4.056	5.07	2	7	0	0	FALSE	FALSE
860	36	21	B2-A1	B2-A2	3.15581854	0.78647267	1.326	2.402	0.702	1.092	2.028	3.494	6	6	0.515	0.437	5.07	5.086	16	4	1	0	TRUE	FALSE
861	10	1	A1-B1	A1-B2	2.878526195	1.57790927	3.042	1.28	1.28	2.168	4.322	3.448	6	6	0.422	0.671	5.211	5.07	15	8	0	0	TRUE	FALSE
862	18	3	A1-B1	A1-B2	2.366863905	1.380670611	3.058	1.779	1.482	1.201	4.54	2.98	6	6	0.374	0.577	5.07	5.07	12	7	0	0	TRUE	FALSE
863	20	4	A1-B1	A1-B2	2.761341223	0.591715976	1.497	3.323	2.309	1.685	3.806	5.008	6	6	0.468	0.686	5.07	5.07	14	3	3	0	TRUE	FALSE
864	24	16	A1-B1	A1-B2	1.972386588	1.183431953	1.014	1.233	1.17	2.074	2.184	3.307	6	6	0.53	0.453	5.07	5.07	10	6	2	0	TRUE	FALSE
865	35	37	A1-B1	A1-B2	1.972386588	1.737787218	2.012	1.809	1.373	1.217	3.385	3.026	6	6	0.561	0.561	5.07	5.179	10	9	1	1	TRUE	FALSE
866	26	9	A2-B2	A2-B1	0.246548323	1.183431953	11.201	1.31	1.045	1.404	12.246	2.714	6	6	0.561	0.328	4.056	5.07	1	6	0	0	FALSE	FALSE
867	28	13	A2-B2	A2-B1	3.550295858	1.972386588	2.886	1.373	1.42	1.388	4.306	2.761	6	6	0.327	0.452	5.07	5.07	18	10	0	0	TRUE	FALSE
868	31	15	A2-B2	A2-B1	2.289639382	0.788954635	3.151	1.419	1.186	1.607	4.337	3.026	6	6	0.499	0.484	5.241	5.07	12	4	0	0	TRUE	FALSE
869	33	27	A2-B2	A2-B1	2.958579882	2.761341223	1.592	1.544	1.029	0.874	2.621	2.418	6	6	0.53	0.297	5.07	5.07	15	14	2	2	TRUE	FALSE
870	40	32	A2-B2	A2-B1	0.493096647	0.788954635	1.685	6.833	1.279	0.998	2.964	7.831	6	6	1.092	0.92	4.056	5.07	2	4	3	1	FALSE	FALSE
871	5	6	B1-A2	B1-A1	2.958579882	0.591715976	1.03	6.303	1.31	1.809	2.34	8.112	6	6	0.297	0.421	5.07	5.07	15	3	1	0	TRUE	FALSE
872	7	8	B1-A2	B1-A1	2.761341223	0.246548323	1.248	8.767	1.857	2.013	3.105	10.78	6	6	0.344	0.53	5.07	4.056	14	1	0	1	TRUE	TRUE
873	14	12	B1-A2	B1-A1	2.169625247	1.183431953	1.092	1.342	1.217	1.404	2.309	2.746	6	6	0.327	0.452	5.07	5.07	11	6	0	0	TRUE	FALSE
874	22	19	B1-A2	B1-A1	2.761341223	0	6.474	6.349	2.496	1.545	8.97	7.894	6	6	0.483	NA	5.07	4.056	14	0	4	1	TRUE	TRUE
875	38	34	B1-A2	B1-A1	1.775147929	0.246548323	1.919	2.59	0.952	1.591	2.871	4.181	6	6	0.421	0.717	5.07	4.056	9	1	0	3	TRUE	TRUE
876	21	2	B2-A1	B2-A2	1.775147929	1.57790927	2.153	1.903	1.638	1.124	3.791	3.027	6	6	0.499	0.39	5.07	5.07	9	8	1	0	TRUE	FALSE
877	25	11	B2-A1	B2-A2	2.50965251	0	5.195	3.463	1.217	1.81	6.412	5.273	6	6	0.453	NA	5.18	4.057	13	0	0	0	TRUE	TRUE
878	29	17	B2-A1	B2-A2	1.577598107	0.493096647	10.062	2.933	1.326	0.874	11.388	3.807	6	6	0.453	0.328	5.071	4.056	8	2	0	0	TRUE	TRUE
879	30	23	B2-A1	B2-A2	1.380670611	0.493096647	1.981	11.232	0.889	2.605	2.87	13.837	6	6	0.343	0.546	5.07	4.056	7	2	0	0	TRUE	TRUE
880	39	36	B2-A1	B2-A2	1.183431953	1.769911504	5.787	2.917	0.874	1.981	6.661	4.898	6	6	0.437	0.624	5.07	5.085	6	9	3	3	TRUE	FALSE
