index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1283	14	30	A1-B1	A1-B2	1.57790927	1.972386588	5.475	9.048	1.436	0.889	6.911	9.937	6	6	0.375	0.140	5.070	5.070	8	10	2	6	TRUE	FALSE
1284	31	32	A1-B1	A1-B2	1.775147929	0.493096647	0.827	2.902	0.795	1.139	1.622	4.041	6	6	0.655	0.312	5.070	4.056	9	2	1	5	TRUE	TRUE
1285	33	35	A1-B1	A1-B2	1.775147929	0.986193294	0.546	0.812	0.967	0.764	1.513	1.576	6	6	0.265	0.421	5.070	5.070	9	5	0	4	TRUE	FALSE
1286	13	4	A2-B2	A2-B1	1.57790927	0.591715976	1.155	2.402	1.014	1.030	2.169	3.432	6	6	0.094	0.359	5.070	5.070	8	3	0	2	TRUE	FALSE
1287	15	5	A2-B2	A2-B1	1.972386588	0.246548323	0.733	1.139	1.077	1.139	1.810	2.278	6	6	0.358	0.281	5.070	4.056	10	1	3	3	TRUE	TRUE
1288	18	7	A2-B2	A2-B1	1.183431953	1.183431953	0.718	0.842	0.811	1.279	1.529	2.121	6	6	0.281	0.484	5.070	5.070	6	6	1	4	TRUE	FALSE
1289	21	16	A2-B2	A2-B1	1.972386588	0	0.608	5.710	0.796	1.123	1.404	6.833	6	6	0.031	NA	5.070	4.056	10	0	2	4	TRUE	TRUE
1290	40	38	A2-B2	A2-B1	1.57790927	0.493096647	0.530	0.561	1.186	1.030	1.716	1.591	6	6	0.078	0.218	5.070	4.056	8	2	1	3	TRUE	TRUE
1291	2	11	B1-A1	B1-A2	1.972386588	0.246548323	1.154	3.276	1.217	0.873	2.371	4.149	6	6	0.062	0.296	5.070	4.056	10	1	2	2	TRUE	TRUE
1292	6	19	B1-A1	B1-A2	1.380670611	0.246548323	0.952	0.670	0.998	1.030	1.950	1.700	6	6	0.047	0.343	5.070	4.056	7	1	0	1	TRUE	TRUE
1293	29	24	B1-A1	B1-A2	1.972386588	0.246548323	0.858	0.717	0.826	0.967	1.684	1.684	6	6	0.093	0.249	5.070	4.056	10	1	1	3	TRUE	TRUE
1294	36	27	B1-A1	B1-A2	1.972386588	0.493096647	1.670	1.232	1.201	0.983	2.871	2.215	6	6	0.265	0.078	5.070	4.056	10	2	2	5	TRUE	TRUE
1295	39	34	B1-A1	B1-A2	1.769911504	1.57790927	0.577	1.092	1.420	1.404	1.997	2.496	6	6	0.234	0.078	5.085	5.070	9	8	2	4	TRUE	FALSE
1296	1	8	B2-A2	B2-A1	1.18319858	0.246548323	4.602	3.495	0.765	0.842	5.367	4.337	6	6	0.016	0.281	5.071	4.056	6	1	1	4	TRUE	TRUE
1297	3	20	B2-A2	B2-A1	1.775147929	0	1.466	0.593	1.045	1.856	2.511	2.449	6	6	0.328	NA	5.070	4.056	9	0	2	2	TRUE	TRUE
1298	10	22	B2-A2	B2-A1	1.972386588	0.788954635	0.936	5.257	0.874	0.827	1.810	6.084	6	6	0.297	0.327	5.070	5.070	10	4	0	5	TRUE	FALSE
1299	23	26	B2-A2	B2-A1	1.775147929	1.971997634	0.687	0.717	0.904	0.812	1.591	1.529	6	6	0.406	0.032	5.070	5.071	9	10	0	6	TRUE	FALSE
1300	28	37	B2-A2	B2-A1	0.986193294	0.246548323	0.827	2.325	0.811	0.858	1.638	3.183	6	6	0.249	0.422	5.070	4.056	5	1	3	2	TRUE	TRUE
1301	3	4	A1-B1	A1-B2	1.972386588	0.493096647	0.764	0.827	0.921	0.967	1.685	1.794	6	6	0.047	0.062	5.070	4.056	10	2	2	8	TRUE	TRUE
1302	17	23	A1-B1	A1-B2	1.775147929	0.246548323	0.062	2.153	1.264	0.904	1.326	3.057	6	6	0.234	0.343	5.070	4.056	9	1	1	3	TRUE	TRUE
1303	22	29	A1-B1	A1-B2	1.57790927	0.246548323	4.010	0.733	1.045	1.046	5.055	1.779	6	6	0.374	0.344	5.070	4.056	8	1	1	8	TRUE	TRUE
1304	31	35	A1-B1	A1-B2	1.913509376	0.493096647	0.811	2.168	1.030	0.952	1.841	3.120	6	6	0.328	0.156	5.226	4.056	10	2	2	2	TRUE	TRUE
1305	33	38	A1-B1	A1-B2	1.972386588	0.246548323	0.499	0.905	0.858	1.326	1.357	2.231	6	6	0.265	0.140	5.070	4.056	10	1	1	9	TRUE	TRUE
1306	6	1	A2-B2	A2-B1	1.972386588	3.747534517	0.671	0.873	1.357	0.780	2.028	1.653	6	6	0.328	0.718	5.070	5.070	10	19	1	6	TRUE	FALSE
1307	7	2	A2-B2	A2-B1	1.183431953	0.788954635	0.640	0.546	0.842	0.812	1.482	1.358	6	6	0.265	0.032	5.070	5.070	6	4	1	12	TRUE	FALSE
1308	9	30	A2-B2	A2-B1	1.972386588	0.591715976	0.484	1.326	0.842	1.076	1.326	2.402	6	6	0.249	0.172	5.070	5.070	10	3	1	5	TRUE	FALSE
1309	11	32	A2-B2	A2-B1	1.972386588	0.493096647	1.388	1.076	1.092	1.108	2.480	2.184	6	6	0.296	0.156	5.070	4.056	10	2	3	2	TRUE	TRUE
1310	39	36	A2-B2	A2-B1	1.57790927	0.493096647	0.639	1.045	0.874	0.874	1.513	1.919	6	6	0.078	0.281	5.070	4.056	8	2	3	3	TRUE	TRUE
1311	10	5	B1-A1	B1-A2	1.775147929	0.246548323	0.811	0.718	1.186	0.951	1.997	1.669	6	6	0.296	0.265	5.070	4.056	9	1	3	5	TRUE	TRUE
1312	12	8	B1-A1	B1-A2	1.972386588	0.493096647	0.796	0.514	0.936	0.827	1.732	1.341	6	6	0.328	0.109	5.070	4.056	10	2	2	3	TRUE	TRUE
1313	14	13	B1-A1	B1-A2	1.775147929	0	0.764	1.576	1.170	1.341	1.934	2.917	6	6	0.374	NA	5.070	4.056	9	0	0	6	TRUE	TRUE
1314	20	18	B1-A1	B1-A2	1.775147929	0.246548323	0.998	1.108	0.889	0.874	1.887	1.982	6	6	0.093	0.312	5.070	4.056	9	1	0	9	TRUE	TRUE
1315	25	40	B1-A1	B1-A2	1.972386588	0.493096647	1.435	0.656	2.402	0.905	3.837	1.561	6	6	0.343	0.047	5.070	4.056	10	2	0	9	TRUE	TRUE
1316	15	16	B2-A2	B2-A1	1.57790927	0.493096647	2.075	0.889	1.076	0.905	3.151	1.794	6	6	0.124	0.188	5.070	4.056	8	2	2	3	TRUE	TRUE
1317	24	19	B2-A2	B2-A1	1.775147929	0.591715976	0.718	2.620	1.014	1.046	1.732	3.666	6	6	0.343	0.656	5.070	5.070	9	3	0	0	TRUE	FALSE
1318	28	21	B2-A2	B2-A1	1.57790927	0.788954635	0.640	1.872	1.185	1.950	1.825	3.822	6	6	0.296	0.047	5.070	5.070	8	4	2	5	TRUE	FALSE
1319	34	26	B2-A2	B2-A1	1.972386588	0.493096647	0.546	11.809	1.326	0.967	1.872	12.776	6	6	0.359	0.297	5.070	4.056	10	2	2	3	TRUE	TRUE
1320	37	27	B2-A2	B2-A1	2.169625247	0.246548323	1.108	0.515	0.905	0.843	2.013	1.358	6	6	0.063	0.328	5.070	4.056	11	1	3	3	TRUE	TRUE
1321	1	4	A1-B1	A1-B2	0.788954635	0.493096647	5.117	0.671	0.717	0.827	5.834	1.498	6	6	0.000	0.078	5.070	4.056	4	2	0	3	TRUE	TRUE
1322	11	7	A1-B1	A1-B2	1.775147929	0.246548323	0.639	5.584	0.827	0.843	1.466	6.427	6	6	0.281	0.015	5.070	4.056	9	1	1	8	TRUE	TRUE
