index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
985	39	27	A1-B1	A1-B2	1.775147929	0.246548323	0.733	0.889	0.967	1.124	1.700	2.013	6	6	0.375	0.125	5.070	4.056	9	1	1	6	TRUE	TRUE
986	19	16	A2-B2	A2-B1	1.380398344	0	0.608	0.546	0.999	1.996	1.607	2.542	6	6	0.328	NA	5.071	4.056	7	0	1	9	TRUE	TRUE
987	21	24	A2-B2	A2-B1	0.788954635	0	0.921	0.749	1.919	1.061	2.840	1.810	6	6	0.640	NA	5.070	4.056	4	0	11	9	TRUE	TRUE
988	22	28	A2-B2	A2-B1	1.972386588	0	0.468	1.076	1.451	0.983	1.919	2.059	6	6	0.374	NA	5.070	4.056	10	0	4	8	TRUE	TRUE
989	33	37	A2-B2	A2-B1	1.775147929	0.246548323	0.655	0.453	1.326	0.936	1.981	1.389	6	6	0.343	0.249	5.070	4.056	9	1	3	9	TRUE	TRUE
990	34	40	A2-B2	A2-B1	1.972386588	0.246548323	0.483	0.671	0.999	1.155	1.482	1.826	6	6	0.375	0.000	5.070	4.056	10	1	0	8	TRUE	TRUE
991	1	12	B1-A2	B1-A1	2.169625247	0.493096647	4.914	0.468	0.968	1.295	5.882	1.763	6	6	0.344	0.156	5.070	4.056	11	2	2	11	TRUE	TRUE
992	5	26	B1-A2	B1-A1	1.972386588	0	0.671	0.452	1.716	1.217	2.387	1.669	6	6	0.218	NA	5.070	4.056	10	0	1	2	TRUE	TRUE
993	13	29	B1-A2	B1-A1	1.57790927	0.246548323	0.093	0.858	1.201	0.951	1.294	1.809	6	6	0.141	3.947	5.070	4.056	8	1	3	6	TRUE	TRUE
994	17	31	B1-A2	B1-A1	1.758843072	0.246548323	0.733	1.014	1.076	1.061	1.809	2.075	6	6	0.468	0.327	5.117	4.056	9	1	3	3	TRUE	TRUE
995	30	32	B1-A2	B1-A1	1.57790927	0	1.170	0.452	1.170	1.030	2.340	1.482	6	6	0.546	NA	5.070	4.056	8	0	3	10	TRUE	TRUE
996	7	2	B2-A1	B2-A2	1.775147929	0.493096647	0.452	0.468	1.030	1.201	1.482	1.669	6	6	0.203	0.374	5.070	4.056	9	2	3	8	TRUE	TRUE
997	10	4	B2-A1	B2-A2	1.380670611	0.246548323	2.464	0.796	0.937	1.108	3.401	1.904	6	6	0.234	0.827	5.070	4.056	7	1	2	13	TRUE	TRUE
998	25	9	B2-A1	B2-A2	1.775147929	2.904725019	0.780	0.483	1.045	1.217	1.825	1.700	6	6	0.250	0.374	5.070	5.164	9	15	2	3	TRUE	FALSE
999	35	15	B2-A1	B2-A2	1.183431953	0.493096647	0.437	0.795	1.061	1.092	1.498	1.887	6	6	0.483	0.250	5.070	4.056	6	2	1	8	TRUE	TRUE
1000	38	36	B2-A1	B2-A2	1.972386588	0.246548323	0.686	1.123	0.999	1.029	1.685	2.152	6	6	0.078	0.452	5.070	4.056	10	1	1	6	TRUE	TRUE
1001	4	11	A1-B1	A1-B2	1.775147929	0.246548323	1.389	0.561	1.029	0.999	2.418	1.560	6	6	0.359	0.390	5.070	4.056	9	1	2	9	TRUE	TRUE
1002	5	19	A1-B1	A1-B2	1.775147929	0.246548323	0.421	0.078	1.451	1.591	1.872	1.669	6	6	0.328	0.406	5.070	4.056	9	1	2	2	TRUE	TRUE
1003	15	26	A1-B1	A1-B2	1.775147929	0.246548323	0.624	0.858	1.077	1.139	1.701	1.997	6	6	0.312	0.453	5.070	4.056	9	1	3	10	TRUE	TRUE
1004	31	29	A1-B1	A1-B2	1.57790927	0.246548323	1.014	0.795	3.011	0.968	4.025	1.763	6	6	0.374	0.390	5.070	4.056	8	1	1	4	TRUE	TRUE
1005	39	37	A1-B1	A1-B2	1.57790927	0	0.436	0.483	1.061	1.030	1.497	1.513	6	6	0.359	NA	5.070	4.056	8	0	3	12	TRUE	TRUE
1006	17	1	A2-B2	A2-B1	1.57790927	0	0.562	0.670	1.544	1.654	2.106	2.324	6	6	0.452	NA	5.070	4.056	8	0	2	3	TRUE	TRUE
1007	20	6	A2-B2	A2-B1	1.57790927	0.246548323	1.030	0.468	1.466	1.435	2.496	1.903	6	6	0.000	0.328	5.070	4.056	8	1	3	7	TRUE	TRUE
1008	28	18	A2-B2	A2-B1	1.775147929	0	0.873	0.702	1.201	1.030	2.074	1.732	6	6	0.374	NA	5.070	4.056	9	0	3	12	TRUE	TRUE
1009	30	32	A2-B2	A2-B1	1.775147929	0	0.998	0.639	0.983	1.170	1.981	1.809	6	6	0.343	NA	5.070	4.056	9	0	2	10	TRUE	TRUE
1010	36	33	A2-B2	A2-B1	1.775147929	0	0.140	0.609	1.373	0.920	1.513	1.529	6	6	0.312	NA	5.070	4.056	9	0	2	8	TRUE	TRUE
1011	13	8	B1-A2	B1-A1	1.57790927	1.775147929	0.796	0.780	1.420	1.435	2.216	2.215	6	6	0.344	0.686	5.070	5.070	8	9	3	0	TRUE	FALSE
1012	16	10	B1-A2	B1-A1	1.775147929	0.246548323	0.437	0.453	1.092	1.185	1.529	1.638	6	6	0.437	0.452	5.070	4.056	9	1	1	9	TRUE	TRUE
1013	23	14	B1-A2	B1-A1	1.775147929	0.246548323	0.655	0.905	1.029	0.951	1.684	1.856	6	6	0.078	0.406	5.070	4.056	9	1	0	6	TRUE	TRUE
1014	38	22	B1-A2	B1-A1	1.775147929	0.246548323	0.593	1.108	1.014	1.263	1.607	2.371	6	6	0.405	0.031	5.070	4.056	9	1	3	10	TRUE	TRUE
1015	40	34	B1-A2	B1-A1	1.57790927	0	0.437	1.107	1.856	0.952	2.293	2.059	6	6	0.390	NA	5.070	4.056	8	0	4	12	TRUE	TRUE
1016	2	12	B2-A1	B2-A2	1.924927815	0.591715976	0.608	0.811	1.046	0.951	1.654	1.762	6	6	0.375	0.359	5.195	5.070	10	3	1	11	TRUE	FALSE
1017	3	21	B2-A1	B2-A2	1.972386588	0.246548323	1.264	0.499	1.294	1.170	2.558	1.669	6	6	0.531	0.343	5.070	4.056	10	1	3	4	TRUE	TRUE
1018	7	25	B2-A1	B2-A2	1.57790927	0.246548323	0.405	0.499	1.217	1.029	1.622	1.528	6	6	0.000	0.436	5.070	4.056	8	1	2	8	TRUE	TRUE
1019	9	27	B2-A1	B2-A2	1.775147929	0	1.077	0.920	1.669	0.921	2.746	1.841	6	6	0.343	NA	5.070	4.057	9	0	3	8	TRUE	TRUE
1020	24	35	B2-A1	B2-A2	1.775147929	0.493096647	0.530	0.811	1.233	0.998	1.763	1.809	6	6	0.468	0.374	5.070	4.056	9	2	3	8	TRUE	TRUE
1021	8	7	A1-B1	A1-B2	1.972386588	1.972386588	0.905	0.655	1.263	1.700	2.168	2.355	6	6	0.297	0.109	5.070	5.070	10	10	3	2	TRUE	FALSE
1022	20	14	A1-B1	A1-B2	1.775147929	0.493096647	0.702	0.764	0.936	0.936	1.638	1.700	6	6	0.280	0.124	5.070	4.056	9	2	1	12	TRUE	TRUE
1023	21	29	A1-B1	A1-B2	1.57790927	0.493096647	0.390	0.686	1.092	0.952	1.482	1.638	6	6	0.265	0.343	5.070	4.056	8	2	1	7	TRUE	TRUE
1024	30	36	A1-B1	A1-B2	1.775147929	0.493096647	1.295	0.499	0.842	1.077	2.137	1.576	6	6	0.437	0.156	5.070	4.056	9	2	2	7	TRUE	TRUE
1025	40	38	A1-B1	A1-B2	1.775147929	0.493096647	0.671	0.952	0.983	1.123	1.654	2.075	6	6	0.062	0.140	5.070	4.056	9	2	3	6	TRUE	TRUE
1026	11	1	A2-B2	A2-B1	1.972386588	2.169625247	0.437	2.574	0.998	0.999	1.435	3.573	6	6	0.390	0.062	5.070	5.070	10	11	1	3	TRUE	FALSE
1027	22	13	A2-B2	A2-B1	1.775147929	0.493096647	0.858	0.686	0.952	0.967	1.810	1.653	6	6	0.328	0.140	5.070	4.056	9	2	2	13	TRUE	TRUE
1028	24	15	A2-B2	A2-B1	1.775147929	1.775147929	0.811	0.546	0.920	1.108	1.731	1.654	6	6	0.297	0.171	5.070	5.070	9	9	3	3	TRUE	FALSE
1029	27	25	A2-B2	A2-B1	1.775147929	0	0.687	0.530	1.513	1.045	2.200	1.575	6	6	0.312	NA	5.070	4.056	9	0	2	11	TRUE	TRUE
1030	31	28	A2-B2	A2-B1	1.775147929	0	0.967	1.997	1.311	0.936	2.278	2.933	6	6	0.219	NA	5.070	4.056	9	0	2	4	TRUE	TRUE
