index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1	10	25	A1-B1	A1-B2	2.5641025641	2.1696252465	9.141	0.968	1.279	0.78	10.42	1.748	6	6	0.499	0.312	5.07	5.07	13	11	0	0	TRUE	FALSE
2	13	29	A1-B1	A1-B2	1.9723865878	1.3806706114	5.943	2.901	1.248	1.139	7.191	4.04	6	6	0.437	0.468	5.07	5.07	10	7	3	0	TRUE	FALSE
3	14	32	A1-B1	A1-B2	1.3806706114	1.9723865878	1.841	0.983	1.778	0.764	3.619	1.747	6	6	0.514	0.328	5.07	5.07	7	10	5	0	TRUE	FALSE
4	18	33	A1-B1	A1-B2	2.5641025641	1.5779092702	1.17	1.232	0.998	0.718	2.168	1.95	6	6	0.577	0.452	5.07	5.07	13	8	1	0	TRUE	FALSE
5	26	36	A1-B1	A1-B2	2.3668639053	1.3806706114	0.842	1.123	0.874	1.201	1.716	2.324	6	6	0.343	0.312	5.07	5.07	12	7	0	0	TRUE	FALSE
6	5	1	A2-B2	A2-B1	2.1696252465	1.5779092702	1.045	9.703	1.295	2.091	2.34	11.794	6	6	0.609	0.687	5.07	5.07	11	8	1	0	TRUE	FALSE
7	22	3	A2-B2	A2-B1	1.775147929	2.3668639053	1.279	6.849	0.889	1.263	2.168	8.112	6	6	0.39	0.546	5.07	5.07	9	12	2	0	TRUE	FALSE
8	23	8	A2-B2	A2-B1	1.9723865878	1.775147929	1.404	1.186	1.108	1.529	2.512	2.715	6	6	0.577	0.406	5.07	5.07	10	9	1	0	TRUE	FALSE
9	30	11	A2-B2	A2-B1	1.5779092702	1.3806706114	1.03	3.932	0.967	0.967	1.997	4.899	6	6	0.421	0.421	5.07	5.07	8	7	2	0	TRUE	FALSE
10	37	21	A2-B2	A2-B1	2.1696252465	1.1834319527	1.747	1.077	0.842	0.795	2.589	1.872	6	6	0.499	0.484	5.07	5.07	11	6	1	0	TRUE	FALSE
11	2	4	B1-A1	B1-A2	2.1696252465	2.7613412229	1.779	2.918	1.061	0.826	2.84	3.744	6	6	0.5	0.406	5.07	5.07	11	14	0	0	TRUE	FALSE
12	7	6	B1-A1	B1-A2	2.1696252465	2.1696252465	1.81	3.182	0.858	1.108	2.668	4.29	6	6	0.499	0.561	5.07	5.07	11	11	0	0	TRUE	FALSE
13	12	15	B1-A1	B1-A2	3.3530571992	1.3806706114	1.294	3.182	1.264	1.139	2.558	4.321	6	6	0.421	0.748	5.07	5.07	17	7	0	0	TRUE	FALSE
14	20	17	B1-A1	B1-A2	0	1.9723865878	2.043	8.237	1.248	0.998	3.291	9.235	6	6	NA	0.546	4.056	5.07	0	10	0	0	FALSE	FALSE
15	28	31	B1-A1	B1-A2	2.3668639053	1.775147929	1.419	1.185	1.56	2.309	2.979	3.494	6	6	0.374	0.64	5.07	5.07	12	9	0	0	TRUE	FALSE
16	9	24	B2-A2	B2-A1	1.5779092702	1.1691348402	0.874	2.589	1.233	1.576	2.107	4.165	6	6	0.5	1.263	5.07	5.132	8	6	0	0	TRUE	FALSE
17	16	27	B2-A2	B2-A1	2.7613412229	1.5779092702	2.106	1.513	1.466	1.935	3.572	3.448	6	6	0.484	0.421	5.07	5.07	14	8	1	0	TRUE	FALSE
18	19	35	B2-A2	B2-A1	1.9723865878	1.5779092702	2.153	0.967	1.856	1.139	4.009	2.106	6	6	0.421	0.484	5.07	5.07	10	8	1	0	TRUE	FALSE
19	34	38	B2-A2	B2-A1	1.1834319527	0	0.858	1.451	1.139	1.201	1.997	2.652	6	6	0.39	NA	5.07	4.056	6	0	3	0	TRUE	TRUE
20	40	39	B2-A2	B2-A1	1.9723865878	1.1834319527	0.796	1.388	1.076	0.827	1.872	2.215	6	6	0.312	0.718	5.07	5.07	10	6	5	0	TRUE	FALSE
21	2	4	A1-B1	A1-B2	1.1834319527	1.9723865878	1.685	1.497	0.904	0.812	2.589	2.309	6	6	0.811	0.593	5.07	5.07	6	10	0	0	TRUE	FALSE
22	15	9	A1-B1	A1-B2	1.1797090051	1.5779092702	2.184	1.685	1.045	1.061	3.229	2.746	6	6	0.64	0.592	5.086	5.07	6	8	0	0	TRUE	FALSE
23	18	12	A1-B1	A1-B2	0.4930966469	0.7889546351	1.701	1.201	1.107	1.201	2.808	2.402	6	6	0.951	0.577	4.056	5.07	2	4	0	0	FALSE	FALSE
24	32	28	A1-B1	A1-B2	0	0	1.263	3.167	1.919	1.03	3.182	4.197	6	6	NA	NA	4.056	4.056	0	0	1	1	FALSE	TRUE
25	33	31	A1-B1	A1-B2	2.1696252465	1.775147929	0.952	0.811	0.92	0.905	1.872	1.716	6	6	0.484	0.374	5.07	5.07	11	9	1	0	TRUE	FALSE
26	1	3	A2-B2	A2-B1	1.9723865878	0.5917159763	12.636	13.166	0.951	0.874	13.587	14.04	6	6	0.811	0.639	5.07	5.07	10	3	0	0	TRUE	FALSE
27	10	7	A2-B2	A2-B1	0.9861932939	0.7889546351	3.79	1.451	1.217	1.373	5.007	2.824	6	6	0.655	0.609	5.07	5.07	5	4	0	0	TRUE	FALSE
28	20	17	A2-B2	A2-B1	1.3806706114	1.775147929	1.185	1.903	1.701	1.232	2.886	3.135	6	6	0.483	0.359	5.07	5.07	7	9	0	0	TRUE	FALSE
29	23	19	A2-B2	A2-B1	0	0.4930966469	2.168	1.217	0.796	1.965	2.964	3.182	6	6	NA	0.624	4.056	4.056	0	2	1	0	FALSE	TRUE
30	29	39	A2-B2	A2-B1	1.3806706114	0.2465483235	1.217	0.967	0.78	0.843	1.997	1.81	6	6	0.422	0.39	5.07	4.056	7	1	6	0	TRUE	TRUE
31	14	11	B1-A1	B1-A2	0.4930966469	0.2465483235	1.311	4.15	0.889	2.277	2.2	6.427	6	6	1.061	0.687	4.056	4.056	2	1	0	0	FALSE	TRUE
32	22	16	B1-A1	B1-A2	1.5779092702	1.1834319527	1.092	6.224	1.435	1.56	2.527	7.784	6	6	0.577	0.889	5.07	5.07	8	6	0	0	TRUE	FALSE
33	27	24	B1-A1	B1-A2	0	1.3806706114	3.323	1.825	1.279	3.542	4.602	5.367	6	6	NA	0.64	4.056	5.07	0	7	0	0	FALSE	FALSE
34	30	25	B1-A1	B1-A2	0.2465483235	1.1834319527	1.342	1.373	1.217	1.872	2.559	3.245	6	6	0.874	0.562	4.056	5.07	1	6	0	0	FALSE	FALSE
35	38	36	B1-A1	B1-A2	2.1696252465	1.5779092702	1.794	1.279	1.388	1.326	3.182	2.605	6	6	0.421	0.749	5.07	5.07	11	8	0	0	TRUE	FALSE
36	6	5	B2-A2	B2-A1	1.775147929	0.4930966469	2.074	1.092	1.826	1.06	3.9	2.152	6	6	0.593	2.792	5.07	4.056	9	2	0	0	TRUE	TRUE
37	26	8	B2-A2	B2-A1	1.9723865878	0	1.092	1.544	1.092	1.623	2.184	3.167	6	6	0.405	NA	5.07	4.056	10	0	3	0	TRUE	TRUE
38	34	13	B2-A2	B2-A1	1.9723865878	0	1.357	7.69	1.186	1.404	2.543	9.094	6	6	0.655	NA	5.07	4.056	10	0	0	0	TRUE	TRUE
39	35	21	B2-A2	B2-A1	1.9723865878	0	9.407	0.671	0.702	1.279	10.109	1.95	6	6	0.562	NA	5.07	4.056	10	0	1	0	TRUE	TRUE
40	40	37	B2-A2	B2-A1	1.775147929	0.5917159763	1.138	0.765	1.592	1.294	2.73	2.059	6	6	0.437	0.921	5.07	5.07	9	3	1	0	TRUE	FALSE
41	9	19	A1-B1	A1-B2	1.5779092702	1.5779092702	5.179	1.919	1.841	0.811	7.02	2.73	6	6	0.733	0.717	5.07	5.07	8	8	6	1	TRUE	FALSE
42	12	26	A1-B1	A1-B2	1.3806706114	2.3668639053	1.326	1.888	1.108	1.17	2.434	3.058	6	6	0.764	0.592	5.07	5.07	7	12	0	0	TRUE	FALSE
43	21	30	A1-B1	A1-B2	1.7221584386	1.3806706114	1.107	1.233	1.092	1.17	2.199	2.403	6	6	0.468	0.436	5.226	5.07	9	7	2	0	TRUE	FALSE
44	24	32	A1-B1	A1-B2	0	0.2465483235	4.883	1.622	1.139	1.919	6.022	3.541	6	6	NA	0.436	4.056	4.056	0	1	0	0	FALSE	TRUE
45	38	39	A1-B1	A1-B2	1.5779092702	0.9861932939	1.232	1.42	1.373	1.248	2.605	2.668	6	6	0.92	0.624	5.07	5.07	8	5	0	0	TRUE	FALSE
46	2	3	A2-B2	A2-B1	1.3806706114	0.5917159763	10.234	0.967	0.842	1.014	11.076	1.981	6	6	0.78	0.53	5.07	5.07	7	3	0	0	TRUE	FALSE
47	4	11	A2-B2	A2-B1	1.9723865878	0	1.451	1.763	1.482	1.575	2.933	3.338	6	6	0.671	NA	5.07	4.056	10	0	0	0	TRUE	TRUE
48	6	16	A2-B2	A2-B1	1.9723865878	0.7889546351	2.511	0.998	1.467	1.217	3.978	2.215	6	6	1.155	0.702	5.07	5.07	10	4	0	0	TRUE	FALSE
49	17	18	A2-B2	A2-B1	0.9861932939	1.5779092702	1.201	5.85	1.202	1.357	2.403	7.207	6	6	0.5	0.499	5.07	5.07	5	8	4	0	TRUE	FALSE
50	23	28	A2-B2	A2-B1	1.9723865878	0.9861932939	1.233	2.387	1.31	1.217	2.543	3.604	6	6	0.343	0.624	5.07	5.07	10	5	1	0	TRUE	FALSE
51	7	8	B1-A1	B1-A2	1.5779092702	1.3806706114	7.426	4.056	1.123	0.858	8.549	4.914	6	6	0.577	0.655	5.07	5.07	8	7	0	0	TRUE	FALSE
52	15	13	B1-A1	B1-A2	0.4930966469	1.3806706114	1.467	1.263	1.123	1.56	2.59	2.823	6	6	0.39	0.608	4.056	5.07	2	7	0	0	FALSE	FALSE
53	31	29	B1-A1	B1-A2	2.7613412229	1.9723865878	1.061	0.998	1.123	1.436	2.184	2.434	6	6	0.296	0.312	5.07	5.07	14	10	0	0	TRUE	FALSE
54	36	33	B1-A1	B1-A2	0.2465483235	1.3806706114	1.653	1.404	1.139	1.653	2.792	3.057	6	6	0.343	0.702	4.056	5.07	1	7	0	0	FALSE	FALSE
55	40	34	B1-A1	B1-A2	1.775147929	1.775147929	6.021	0.655	1.092	1.217	7.113	1.872	6	6	0.327	0.578	5.07	5.07	9	9	0	0	TRUE	FALSE
56	1	14	B2-A2	B2-A1	1.775147929	0.9861932939	6.053	0.951	1.123	1.108	7.176	2.059	6	6	0.437	0.374	5.07	5.07	9	5	0	0	TRUE	FALSE
57	5	20	B2-A2	B2-A1	1.7747978702	1.3679890561	1.669	1.373	1.545	1.17	3.214	2.543	6	6	0.437	1.606	5.071	5.117	9	7	0	0	TRUE	FALSE
58	10	22	B2-A2	B2-A1	1.5779092702	0	1.42	1.622	1.092	1.389	2.512	3.011	6	6	0.609	NA	5.07	4.056	8	0	0	0	TRUE	TRUE
59	27	25	B2-A2	B2-A1	1.775147929	0	1.856	0.983	0.749	0.983	2.605	1.966	6	6	0.281	NA	5.07	4.056	9	0	0	1	TRUE	TRUE
60	35	37	B2-A2	B2-A1	1.5779092702	1.1834319527	0.67	1.717	1.467	1.31	2.137	3.027	6	6	0.28	0.764	5.07	5.07	8	6	2	0	TRUE	FALSE
61	1	19	A1-B1	A1-B2	1.1834319527	0.7889546351	4.648	1.279	1.077	1.342	5.725	2.621	6	6	0.452	0.639	5.07	5.07	6	4	3	0	TRUE	FALSE
62	11	20	A1-B1	A1-B2	1.9723865878	1.9723865878	1.544	1.248	1.623	0.998	3.167	2.246	6	6	0.546	0.406	5.07	5.07	10	10	0	0	TRUE	FALSE
63	24	22	A1-B1	A1-B2	0.4930966469	1.3806706114	1.139	0.967	1.653	0.999	2.792	1.966	6	6	0.531	0.53	4.056	5.07	2	7	0	0	FALSE	FALSE
64	27	30	A1-B1	A1-B2	1.3806706114	1.1831985802	4.618	1.84	1.404	1.904	6.022	3.744	6	6	0.531	0.515	5.07	5.071	7	6	0	0	TRUE	FALSE
65	35	33	A1-B1	A1-B2	1.1834319527	1.5779092702	1.294	1.233	1.358	0.873	2.652	2.106	6	6	0.5	0.53	5.07	5.07	6	8	1	1	TRUE	FALSE
66	8	3	A2-B2	A2-B1	1.9723865878	1.775147929	1.56	1.248	2.184	0.983	3.744	2.231	6	6	0.483	0.343	5.07	5.07	10	9	0	1	TRUE	FALSE
