index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
416	14	3	B2-A1	B2-A2	1.380670611	1.57790927	1.872	0.92	0.967	0.718	2.839	1.638	6	6	0.687	0.624	5.07	5.07	7	8	0	0	TRUE	FALSE
417	17	4	B2-A1	B2-A2	1.183431953	0.788954635	1.014	2.699	1.092	21.341	2.106	24.04	6	6	1.092	0.578	5.07	5.07	6	4	0	0	TRUE	FALSE
418	26	6	B2-A1	B2-A2	1.972386588	1.380670611	2.2	2.013	0.936	1.186	3.136	3.199	6	6	0.468	0.593	5.07	5.07	10	7	0	0	TRUE	FALSE
419	29	19	B2-A1	B2-A2	1.380670611	1.775147929	2.589	1.326	1.451	0.968	4.04	2.294	6	6	0.624	0.562	5.07	5.07	7	9	0	0	TRUE	FALSE
420	33	27	B2-A1	B2-A2	1.972386588	1.57790927	1.591	0.874	0.874	0.78	2.465	1.654	6	6	0.546	0.624	5.07	5.07	10	8	0	0	TRUE	FALSE
421	16	2	A1-B1	A1-B2	1.722158439	0	1.513	3.057	1.014	0.874	2.527	3.931	6	6	0.374	NA	5.226	4.056	9	0	0	0	TRUE	TRUE
422	20	10	A1-B1	A1-B2	1.57790927	0.591715976	1.716	2.34	1.716	0.951	3.432	3.291	6	6	0.546	0.889	5.07	5.07	8	3	0	0	TRUE	FALSE
423	26	24	A1-B1	A1-B2	1.57790927	0.493096647	1.482	1.311	0.92	1.388	2.402	2.699	6	6	0.468	0.858	5.07	4.056	8	2	0	0	TRUE	TRUE
424	28	35	A1-B1	A1-B2	1.972386588	0	0.998	1.295	0.999	1.201	1.997	2.496	6	6	0.499	NA	5.07	4.056	10	0	0	5	TRUE	TRUE
425	33	38	A1-B1	A1-B2	1.775147929	0.788954635	1.685	1.388	1.669	1.264	3.354	2.652	6	6	0.577	0.593	5.07	5.07	9	4	0	0	TRUE	FALSE
426	3	22	A2-B2	A2-B1	1.972386588	0.246548323	1.154	0.889	1.467	1.42	2.621	2.309	6	6	0.749	0.686	5.07	4.056	10	1	0	0	TRUE	TRUE
427	13	25	A2-B2	A2-B1	1.972386588	1.18319858	1.17	2.356	1.201	0.858	2.371	3.214	6	6	0.608	0.78	5.07	5.071	10	6	0	0	TRUE	FALSE
428	18	29	A2-B2	A2-B1	1.380670611	0.986193294	1.061	1.123	1.092	0.999	2.153	2.122	6	6	0.531	0.327	5.07	5.07	7	5	0	0	TRUE	FALSE
429	21	32	A2-B2	A2-B1	1.380670611	1.775147929	1.981	1.779	1.279	0.905	3.26	2.684	6	6	0.811	0.687	5.07	5.07	7	9	0	0	TRUE	FALSE
430	39	40	A2-B2	A2-B1	1.972386588	1.183431953	1.482	1.326	1.279	0.952	2.761	2.278	6	6	0.515	0.406	5.07	5.07	10	6	0	0	TRUE	FALSE
